Teorica,PESO PRENDA,LARGO DE CUERPO,AREA,DE_MODELO
627,170,84,7560,SM8 TOP-2S
166,80,29,2494,SM8 TOP-2S
574,157,100,6600,SM8 TOP-2S
514,141,90,5580,SM8 TOP-2S
499,141,76,3952,SM8 TOP-2S
649,153,69,4623,SM8 TOP-2S
339,158,42,3360,SM8 TOP-2S
316,46,48,3936,SM8 TOP-2S
180,99,32.5,2535,SM8 TOP-2S
425,132,57,3990,SM8 TOP-2S
380,117,32,2496,SM8 TOP-2S
397,101,30.5,2623,SM8 TOP-2S
141,29,12,876,SM8 TOP-2S
139,29,13,949,SM8 TOP-2S
369,148,95,6840,SM8 TOP-2S
252,67,32,2048,SM8 TOP-2S
224,66,37,2405,SM8 TOP-2S
463,138,94,0,SM8 TOP-2S
273,91,35,2940,SM8 TOP-2S
167,33,15.5,1178,SM8 TOP-2S
394,150,96,6720,SM8 TOP-2S
408,135,73,5840,SM8 TOP-2S
253,107,47,4136,SM8 TOP-2S
268,105,29,2320,SM8 TOP-2S
340,128,46,4002,SM8 TOP-2S
416,145,78,5304,SM8 TOP-2S
258,162,55,4070,SM8 TOP-2S
408,145,59,5074,SM8 TOP-2S
324,63,22,1738,SM8 TOP-2S
237,75,27.5,2557.5,SM8 TOP-2S
302,64,23,1817,SM8 TOP-2S
406,173,36.5,2920,SM8 TOP-2S
406,180,31,2480,SM8 TOP-2S
690,184,40,3280,SM8 TOP-2S
223,148,35.5,2662.5,SM8 TOP-2S
228,104,30,0,SM8 TOP-2S
313,93,25,2050,SM8 TOP-2S
309,142,128,13184,SM8 TOP-2S
218,53,13,819,SM8 TOP-2S
514,127,24,1728,SM8 TOP-2S
174,66,26,1560,SM8 TOP-2S
240,59,21.5,1591,SM8 TOP-2S
339,126,75,5400,SM8 TOP-2S
237,81,45,3195,SM8 TOP-2S
328,113,70,6160,SM8 TOP-2S
320,76,38,2888,SM8 TOP-2S
511,183,108,8640,SM8 TOP-2S
283,87,38,3116,SM8 TOP-2S
496,257,108,8856,SM8 TOP-2S
306,75,36,2592,SM8 TOP-2S
468,154,101,0,SM8 TOP-2S
363,109,33.5,3182.5,SM8 TOP-2S
213,71,29.5,2478,SM8 TOP-2S
223,131,37.5,2887.5,SM8 TOP-2S
141,28,11.5,816.5,SM8 TOP-2S
494,233,102,8364,SM8 TOP-2S
225,60,24.5,1813,SM8 TOP-2S
198,78,37.5,2737.5,SM8 TOP-2S
334,93,36,2808,SM8 TOP-2S
321,92,41,3608,SM8 TOP-2S
495,191,81,6804,SM8 TOP-2S
279,32,16,1088,SM8 TOP-2S
215,20,8,592,SM8 TOP-2S
488,151,80,6880,SM8 TOP-2S
322,182,34.5,2967,SM8 TOP-2S
381,90,44.5,3293,SM8 TOP-2S
360,99,37,2923,SM8 TOP-2S
115,35,9.5,750.5,SM8 TOP-2S
329,113,42,3276,SM8 TOP-2S
181,102,35,2765,SM8 TOP-2S
322,182,37,3182,SM8 TOP-2S
289,113,40,2680,SM8 TOP-2S
289,115,40,2720,SM8 TOP-2S
349,98,59,4248,SM8 TOP-2S
331,80,29,2030,SM8 TOP-2S
462,109,46,3358,SM8 TOP-2S
507,233,77.5,6742.5,SM8 TOP
329,130,71.5,7436,SM8 TOP
346,137,69.5,5768.5,SM8 TOP
356,114,46,3772,SM8 TOP
212,119,36,3528,SM8 TOP
180,60,25,2200,SM8 TOP
216,78,26,2288,SM8 TOP
363,282,101,10504,SM8 TOP
203,53,24.5,1764,SM8 TOP
394,97,32,2944,SM8 TOP
200,80,37.5,2400,SM8 TOP
283,110,25.5,2346,SM8 TOP
270,110,86,8944,SM8 TOP
632,165,28.5,2451,SM8 TOP
198,74,25.5,2448,SM8 TOP
484,122,88.5,8938.5,SM8 TOP
258,65,42,2562,SM8 TOP
457,165,78.5,6751,SM8 TOP
215,97,32,2816,SM8 TOP
247,62,47,3196,SM8 TOP
438,152,85,0,SM8 TOP
245,93,42,3486,SM8 TOP
280,85,46.5,3348,SM8 TOP
340,222,38,3686,SM8 TOP
125,55,40,1600,SM8 TOP
358,60,25,2250,SM8 TOP
219,107,41,3895,SM8 TOP
228,82,37,2960,SM8 TOP
344,78,20.5,1886,SM8 TOP
272,145,40,2640,SM8 TOP
237,90,40,3480,SM8 TOP
248,99,73.5,7791,SM8 TOP
165,52,36,3456,SM8 TOP
226,143,78,5304,SM8 TOP
198,79,31,2263,SM8 TOP
194,86,34,2516,SM8 TOP
248,108,77,7392,SM8 TOP
326,135,76,7904,SM8 TOP
319,116,56,4480,SM8 TOP
560,170,82,5904,SM8 TOP
323,88,19,1330,SM8 TOP
503,139,52,4472,SM8 TOP
187,116,33,2838,SM8 TOP
420,189,64,5376,SM8 TOP
118,37,19,1615,SM8 TOP
277,67,22,1892,SM8 TOP
687,295,120,11400,SM8 TOP
575,226,112,10304,SM8 TOP
241,190,48.5,4413.5,SM8 TOP
467,123,64,4224,SM8 TOP
455,186,76,6232,SM8 TOP
315,99,42,3192,SM8 TOP
201,65,30,2310,SM8 TOP
346,166,80.5,6440,SM8 TOP
229,87,30.5,3019.5,SM8 TOP
253,85,38,3268,SM8 TOP
616,121,21,1638,SM8 TOP
370,122,94,6956,SM8 TOP
434,180,77,4620,SM8 TOP
268,98,70,7350,SM8 TOP
194,117,36.5,3358,SM8 TOP
541,125,55,4510,SM8 TOP
268,98,75.5,8078.5,SM8 TOP
580,160,45,3915,SM8 TOP
193,87,35.5,2627,SM8 TOP
533,171,82,4920,SM8 TOP
298,83,18,1260,SM8 TOP
290,87,32,2464,SM8 TOP
270,67,21.5,1784.5,SM8 TOP
97,22,4,312,SM8 TOP
195,67,25,2150,SM8 TOP
357,204,97,8730,SM8 TOP
167,69,24,1920,SM8 TOP
234,91,39,2925,SM8 TOP
335,159,77.5,6665,SM8 TOP
264,89,27.5,2200,SM8 TOP
222,96,43,3354,SM8 TOP
198,68,34,2822,SM8 TOP
164,46,19,1672,SM8 TOP
245,89,33.5,2847.5,SM8 TOP
218,77,40,3040,SM8 TOP
376,96,19,1444,SM8 TOP
344,71,24,2208,SM8 TOP
272,145,40,2720,SM8 TOP
264,100,23.5,2091.5,SM8 TOP
374,180,58,4814,SM8 TOP
278,114,26,2418,SM8 TOP
208,58,24,1776,SM8 TOP
163,50,20.5,1476,SM8 TOP
438,198,107,9202,SM8 TOP
250,114,83,9047,SM8 TOP
307,69,25,2450,SM8 TOP
547,141,97,0,SM8 TOP
411,267,81.5,6194,SM8 TOP
247,86,29,2494,SM8 TOP
338,211,74,6512,SM8 TOP
235,106,35,3150,SM8 TOP
151,92,26.5,2570.5,SM8 TOP
344,115,38,3572,SM8 TOP
312,104,56.5,4689.5,SM8 TOP
359,119,42,3780,SM8 TOP
260,165,35,2905,SM8 TOP
166,52,32,3392,SM8 TOP
254,130,34.5,3243,SM8 TOP
261,99,76,7904,SM8 TOP
354,71,28.5,2508,SM8 TOP
454,253,134,12998,SM8 TOP
177,43,18,1368,SM8 TOP
323,92,20.5,1435,SM8 TOP
498,233,120,10800,SM8 TOP
505,190,109,8284,SM8 TOP
644,231,95,9120,SM8 TOP
602,211,92,8832,SM8 TOP
343,89,60,3780,SM8 TOP
312,110,65,6370,SM8 TOP
200,93,39,2340,SM8 TOP
581,202,110,11110,SM8 TOP
719,243,114,11172,SM8 TOP
357,111,32.5,2600,SM8 TOP
203,52,11.5,874,SM8 TOP
339,134,70,7280,SM8 TOP
103,47,13,1066,SM8 TOP
209,78,35.5,3195,SM8 TOP
221,76,35,3045,SM8 TOP
431,165,101,6969,SM8 TOP
447,168,110,8140,SM8 TOP
428,179,80,6080,SM8 TOP
191,76,24.5,2278.5,SM8 TOP
455,201,31,2697,SM8 TOP
243,95,34,2856,SM8 TOP
364,98,73,4672,SM8 TOP
575,311,110,10340,SM8 TOP
252,59,16,1024,SM8 TOP
282,134,52,4576,SM8 TOP
229,79,22,2024,SM8 TOP
297,109,32.5,2990,SM8 TOP
541,238,91.5,8692.5,SM8 TOP
309,124,75,6675,SM8 TOP
259,121,44.5,4361,SM8 TOP
499,94,31.5,3024,SM8 TOP
338,98,1.5,129,SM8 TOP
229,84,42,3780,SM8 TOP
397,142,31.5,2772,SM8 TOP
257,99,39,3627,SM8 TOP
323,112,41.5,2863.5,SM8 TOP
215,88,40,3280,SM8 TOP
154,42,13.5,1228.5,SM8 TOP
418,141,55,4620,SM8 TOP
193,117,33.5,2881,SM8 TOP
442,125,53,5300,SM8 TOP
225,130,32,2592,SM8 TOP
328,141,63,5544,SM8 TOP
163,37,8,656,SM8 TOP
243,91,34.5,2898,SM8 TOP
170,78,27,2376,SM8 TOP
507,65,47,3196,SM8 TOP
264,90,41,3485,SM8 TOP
340,222,38,3686,SM8 TOP
192,90,40,2640,SM8 TOP
223,90,41,3854,SM8 TOP
332,128,73,7008,SM8 TOP
180,57,26.5,2411.5,SM8 TOP
395,132,36.5,3285,SM8 TOP
358,114,46,3450,SM8 TOP
472,117,48.5,3880,SM8 TOP
356,114,48.5,3831.5,SM8 TOP
419,148,35,2695,SM8 TOP
222,50,10,940,SM8 TOP
268,104,86,9030,SM8 TOP
355,134,77.5,6975,SM8 TOP
174,58,9,828,SM8 TOP
196,91,37.5,2925,SM8 TOP
235,70,3,240,SM8 TOP
463,116,66,4224,SM8 TOP
434,187,66,6336,SM8 TOP
152,34,9,729,SM8 TOP
572,232,133,0,SM8 TOP
235,84,48,3888,SM8 TOP
371,149,67,5695,SM8 TOP
343,205,35,3010,SM8 TOP
284,115,40.5,3159,SM8 TOP
207,84,29,2726,SM8 TOP
189,85,34.5,2070,SM8 TOP
596,210,94.5,8977.5,SM8 TOP
571,201,39,2964,SM8 TOP
338,222,94,9024,SM8 TOP
476,159,41,3936,SM8 TOP
391,195,57,5358,SM8 TOP
396,129,46,4646,SM8 TOP
390,185,78.5,6280,SM8 TOP
209,68,25,2150,SM8 TOP
246,66,42,2940,SM8 TOP
154,101,28,2716,SM8 TOP
241,187,52,4576,SM8 TOP
276,115,61,4514,SM8 TOP
125,44,13,1196,SM8 TOP
418,146,36,2736,SM8 TOP
254,130,36.5,3504,SM8 TOP
189,85,34.5,2070,SM8 TOP
240,75,20,1640,SM8 TOP
386,208,59,5428,SM8 TOP
390,166,56.5,5311,SM8 TOP
361,215,88,7744,SM8 TOP
194,38,13.5,1269,SM8 TOP
547,191,110,11110,SM8 TOP
259,179,73,5986,SM8 TOP
187,116,33.5,3015,SM8 TOP
666,147,110,6600,SM8 TOP
175,72,26.5,2332,SM8 TOP
191,44,22,1540,SM8 TOP
610,240,106,8798,SM8 TOP
557,219,114,11856,SM8 TOP
357,171,91,7917,SM8 TOP
341,140,80,7440,SM8 TOP
217,53,36.5,2664.5,SM8 TOP
556,164,100,9000,SM8 TOP
327,160,63,5733,SM8 TOP
439,191,88,7832,SM8 TOP
534,82,30,2700,SM8 TOP
235,84,48,3888,SM8 TOP
233,84,36.5,2847,SM8 TOP
318,80,25.5,2320.5,SM8 TOP
192,90,44,2904,SM8 TOP
244,137,38.5,3734.5,SM8 TOP
230,102,35,3220,SM8 TOP
454,266,126,12096,SM8 TOP
146,48,13,988,SM8 TOP
473,139,31,2418,SM8 TOP
154,44,19,1748,SM8 TOP
321,95,26.5,2623.5,SM8 TOP
661,227,97,8342,SM8 TOP
298,94,34,3128,SM8 TOP
706,272,95,7980,SM8 TOP
334,147,75,6300,SM8 TOP
527,162,107,8667,SM8 TOP
234,102,45,3690,SM8 TOP
375,101,30,2820,SM8 TOP
477,133,26,2418,SM8 TOP
277,76,20.5,1701.5,SM8 TOP
278,82,34,2312,SM8 TOP
266,75,23.5,1739,SM8 TOP
343,93,57,3648,SM8 TOP
225,67,26.5,2120,SM8 TOP
434,126,87,5568,SM8 TOP
560,154,99,8316,SM8 TOP
208,67,19,1729,SM8 TOP
340,222,38,3686,SM8 TOP
499,95,32,2944,SM8 TOP
243,75,40,3280,SM8 TOP
258,94,43,3870,SM8 TOP
413,152,37,2775,SM8 TOP
327,114,32,2752,SM8 TOP
266,176,62,6324,TOP2 V
432,291,79.5,8109,TOP2 V
317,100,22,2068,TOP2 V
388,295,88,8976,TOP2 V
272,130,43,3784,TOP2 V
175,60,20.5,1886,TOP2 V
254,129,41,3526,TOP2 V
353,138,40,3840,TOP2 V
299,135,45,3780,TOP2 V
369,144,71.5,8079.5,TOP2 V
582,228,94,6768,TOP2 V
428,155,82,5986,TOP2 V
337,142,64.5,7224,TOP2 V
270,81,18,1476,TOP2 V
241,96,30.5,2867,TOP2 V
362,79,34.5,3243,TOP2 V
414,214,79.5,6678,TOP2 V
482,147,51.5,5047,TOP2 V
211,81,29.5,2832,TOP2 V
219,109,33.5,3216,TOP2 V
344,156,82,8282,TOP2 V
251,100,40.5,3928.5,TOP2 V
